rank,title,totalGross,maxTheaters,openingDate,simplePR
537,The Pleasures of Being Out of Step,13137,2,05/16/14,6569
538,K2: Siren of the Himalayas,12959,2,08/22/14,6480
539,Sol LeWitt,12841,2,05/07/14,6421
540,Special ID,12666,10,03/07/14,1267
541,Bhopal: A Prayer for Rain,12628,2,11/07/14,6314
542,Boy Meets Girl,12589,1,08/08/14,12589
543,Touch the Wall,12156,2,11/28/14,6078
544,Wolves,12139,12,11/14/14,1012
545,In No Great Hurry: 13 Lessons in Life with Saul Leiter,12133,4,01/03/14,3033
546,Alien Abduction,12087,13,04/04/14,930
547,The French Minister,12027,1,03/21/14,12027
548,Queen Margot (2014 re-release),12005,1,05/09/14,12005
549,Falcon Rising,11774,10,09/05/14,1177
550,Living is Easy with Eyes Closed,11600,1,06/27/14,11600
551,You're Not You,11486,5,10/10/14,2297
552,The Final Member,11428,10,04/18/14,1143
553,The Great Invisible,11428,5,10/29/14,2286
554,The Amazing Catfish,11342,3,06/13/14,3781
555,Dishkiyaoon,11288,11,03/28/14,1026
556,Policeman,11263,2,06/13/14,5632
557,Run and Jump,11229,3,01/24/14,3743
558,Pay 2 Play: Democracy's High Stakes,11021,2,09/05/14,5511
559,The Players,10854,50,04/04/14,217
560,As It Is In Heaven,10850,2,07/18/14,5425
561,Inside the Mind of Leonardo Da Vinci in 3D,10600,5,12/19/14,2120
562,Life of Riley,10595,1,10/24/14,10595
563,"Norte, the End of History",10457,2,06/20/14,5229
564,Stray Dogs,10433,3,09/12/14,3478
565,Uzumasa Limelight,10250,13,12/05/14,788
566,The Endless Summer (2014 re-release),10233,32,07/23/14,320
567,Camp X-Ray,9837,7,10/17/14,1405
568,Kabbalah Me,9816,2,08/22/14,4908
569,Marius,9781,2,07/04/14,4891
570,"If You Don't, I Will",9719,1,12/17/14,9719
571,On the Other Side of the Tracks,9572,50,04/04/14,191
572,In the House of Flies,9480,4,05/09/14,2370
573,Radio Free Albemuth,9365,10,06/27/14,937
574,The Immortalists,9331,3,11/26/14,3110
575,Honeymoon,9318,3,09/12/14,3106
576,Concerning Violence,9291,2,12/05/14,4646
577,The Sacrament,9221,5,06/06/14,1844
578,The Cabinet of Dr. Caligari (2014 re-release),8811,1,10/31/14,8811
579,Fanny,8735,2,07/25/14,4368
580,Days and Nights,8647,1,09/26/14,8647
581,The Mystery of Happiness,8528,2,09/12/14,4264
582,The Quitter,8512,1,09/12/14,8512
583,Canopy,8462,5,08/29/14,1692
584,Almost Human,8447,5,02/21/14,1689
585,Red Hollywood,8426,1,08/15/14,8426
586,Love is in the Air,8425,6,01/31/14,1404
587,Life Partners,8265,3,12/05/14,2755
588,Before I Disappear,8251,5,11/28/14,1650
589,Empty Hours,8244,3,07/11/14,2748
590,Gladiators of Rome,8201,11,11/11/14,746
591,Next Year Jerusalem,8093,2,05/16/14,4047
592,Rigor Mortis,7865,10,06/06/14,787
593,Archipelago,7791,1,06/27/14,7791
594,Faith Connections,7772,2,09/12/14,3886
595,Come Back to Me,7744,10,07/25/14,774
596,Iceman (2014),7679,6,09/19/14,1280
597,The Little Bedroom,7440,3,09/26/14,2480
598,I Am Ali,7205,11,10/10/14,655
599,The Strange Color of Your Body's Tears,7182,3,08/29/14,2394
600,ABCs of Death 2,7171,17,10/31/14,422
601,Stage Fright (2014),7078,11,05/09/14,643
602,Plot for Peace,7051,2,10/31/14,3526
603,Very Good Girls,6940,9,07/25/14,771
604,Pioneer,6871,3,12/05/14,2290
605,"No God, No Master",6796,5,03/28/14,1359
606,Before You Know It,6717,3,05/30/14,2239
607,Will You Still Love Me Tomorrow,6694,3,01/17/14,2231
608,Comet,6673,8,12/05/14,834
609,Aatsinki: The Story of Arctic Cowboys,6601,2,01/24/14,3301
610,Life of a King,6547,16,01/17/14,409
611,Jews of Egypt,6505,2,03/28/14,3253
612,Revenge of the Mekons,6487,1,10/29/14,6487
613,The Adventurer: The Curse of the Midas Box,6399,82,01/10/14,78
614,Manuscripts Don't Burn,6295,2,07/25/14,3148
615,Love and Air Sex,6047,1,02/07/14,6047
616,Gringo Trails,6044,2,09/04/14,3022
617,Cavemen,5948,12,02/07/14,496
618,Gang of Ghosts,5906,20,03/21/14,295
619,The Strange Little Cat,5885,1,08/01/14,5885
620,"2 Autumns, 3 Winters",5819,1,06/06/14,5819
621,The Devil's Hand,5746,17,10/10/14,338
622,Papirosen,5658,1,01/24/14,5658
623,Kid Cannabis,5565,1,04/18/14,5565
624,Gabrielle (2014),5534,1,04/18/14,5534
625,Flex is Kings,5418,1,04/04/14,5418
626,The Only Real Game,5384,1,03/07/14,5384
627,Return to Nuke 'Em High Volume 1,5122,1,01/10/14,5122
628,Nothing Bad Can Happen,4870,8,06/27/14,609
629,Half the Road,4783,2,04/18/14,2392
630,Death Metal Angola,4674,1,11/07/14,4674
631,Smiling Through the Apocalypse,4560,1,09/12/14,4560
632,Unrelated,4529,1,06/27/14,4529
633,The Truth About Emanuel,4404,11,01/10/14,400
634,Anna,4288,15,06/06/14,286
635,Raze,4126,2,01/10/14,2063
636,Thunder and the House of Magic!,4091,10,09/05/14,409
637,Maidan,3909,1,12/12/14,3909
638,Beyond Outrage,3878,1,01/03/14,3878
639,Swim Little Fish Swim,3877,2,09/19/14,1939
640,Hollidaysburg,3861,1,09/19/14,3861
641,The Word,3648,1,03/14/14,3648
642,Stop the Pounding Heart,3642,1,09/19/14,3642
643,Hide Your Smiling Faces,3576,1,03/28/14,3576
644,Evolution of a Criminal,3568,1,10/10/14,3568
645,Locker 13,3496,3,03/28/14,1165
646,The Hacker Wars,3470,1,10/17/14,3470
647,Aftermath (2014),3451,1,11/28/14,3451
648,Life's a Breeze,3450,2,09/19/14,1725
649,Age of Uprising: The Legend of Michael Kohlhaas (U.S. only),3313,4,05/30/14,828
650,The Girl on the Train (2014),3124,2,07/04/14,1562
651,Showrunners: The Art of Running a TV Show,3100,1,10/31/14,3100
652,What Now? Remind Me,3089,1,08/08/14,3089
653,Fatal Assistance,3000,1,02/28/14,3000
654,V/H/S: Viral,2756,5,11/21/14,551
655,Black Out,2734,10,02/21/14,273
656,Tip Top,2732,1,12/12/14,2732
657,Mercedes Sosa: The Voice of Latin America,2648,1,01/24/14,2648
658,Sleepwalker,2636,1,11/21/14,2636
659,Refuge,2631,1,03/28/14,2631
660,Indigo Children,2621,1,01/17/14,2621
661,Jake Squared,2592,1,08/15/14,2592
662,McCanick,2572,8,03/21/14,322
663,The Wait,2480,3,01/10/14,827
664,The Protector 2,2463,1,05/02/14,2463
665,Evergreen: The Road to Legalization,2363,3,06/13/14,788
666,Moebius,2340,1,08/01/14,2340
667,Two Lives,2311,1,02/28/14,2311
668,Infliction,2256,2,03/16/14,1128
669,Missionary,2120,10,10/31/14,212
670,Missionary,2120,10,10/31/14,212
671,The Right Kind of Wrong,2098,1,03/14/14,2098
672,Two-Bit Waltz,2077,3,10/24/14,692
673,Algorithms,2021,1,10/17/14,2021
675,Mr. Pip,1714,10,11/07/14,171
676,More Than the Rainbow,1677,1,05/02/14,1677
677,Summer in February,1624,1,01/17/14,1624
678,Rhymes for Young Ghouls,1529,3,10/24/14,510
679,Postman Pat: The Movie,1519,2,06/27/14,760
680,Souldier,1500,2,02/21/14,750
681,Ragnarok,1369,2,08/22/14,685
682,The Tower (2014),1117,1,11/07/14,1117
683,Anything For Alice,1092,1,12/17/14,1092
684,We Are the Giant,1088,2,12/12/14,544
685,The Butterfly Room,1081,1,04/11/14,1081
686,Demi-Soeur,943,1,02/07/14,943
687,Free the Nipple,935,1,12/12/14,935
688,A People Uncounted,930,1,05/16/14,930
689,Jackpot,806,2,06/27/14,403
690,Grand Depart,677,1,05/23/14,677
691,Skinless,400,1,03/08/14,400
